nome,telefone,email,ultimo_pedido,qtd_pedidos
Cliente 48,4899000047,cliente48@email.com,2025-03-09,3
Cliente 49,4899000048,cliente49@email.com,2025-03-08,4
Cliente 50,4899000049,cliente50@email.com,2025-03-07,5
Cliente 51,4899000050,cliente51@email.com,2025-03-06,6
Cliente 52,4899000051,cliente52@email.com,2025-03-05,7
Cliente 53,4899000052,cliente53@email.com,2025-03-04,8
Cliente 54,4899000053,cliente54@email.com,2025-03-03,9
Cliente 55,4899000054,cliente55@email.com,2025-03-02,10
Cliente 56,4899000055,cliente56@email.com,2025-03-01,11
Cliente 57,4899000056,cliente57@email.com,2025-02-28,12
Cliente 58,4899000057,cliente58@email.com,2025-02-27,13
Cliente 59,4899000058,cliente59@email.com,2025-02-26,14
Cliente 60,4899000059,cliente60@email.com,2025-02-25,15
Cliente 61,4899000060,cliente61@email.com,2025-02-24,1
Cliente 62,4899000061,cliente62@email.com,2025-04-25,2
Cliente 63,4899000062,cliente63@email.com,2025-04-24,3
Cliente 64,4899000063,cliente64@email.com,2025-04-23,4
Cliente 65,4899000064,cliente65@email.com,2025-04-22,5
Cliente 66,4899000065,cliente66@email.com,2025-04-21,6
Cliente 67,4899000066,cliente67@email.com,2025-04-20,7
Cliente 68,4899000067,cliente68@email.com,2025-04-19,8
Cliente 69,4899000068,cliente69@email.com,2025-04-18,9
Cliente 70,4899000069,cliente70@email.com,2025-04-17,10
Cliente 71,4899000070,cliente71@email.com,2025-04-16,11
Cliente 72,4899000071,cliente72@email.com,2025-04-15,12
Cliente 73,4899000072,cliente73@email.com,2025-04-14,13
Cliente 74,4899000073,cliente74@email.com,2025-04-13,14
Cliente 75,4899000074,cliente75@email.com,2025-04-12,15
Cliente 76,4899000075,cliente76@email.com,2025-04-11,1
Cliente 77,4899000076,cliente77@email.com,2025-04-10,2
Cliente 78,4899000077,cliente78@email.com,2025-04-09,3
Cliente 79,4899000078,cliente79@email.com,2025-04-08,4
Cliente 80,4899000079,cliente80@email.com,2025-04-07,5
Cliente 81,4899000080,cliente81@email.com,2025-04-06,6
Cliente 82,4899000081,cliente82@email.com,2025-04-05,7
Cliente 83,4899000082,cliente83@email.com,2025-04-04,8
Cliente 84,4899000083,cliente84@email.com,2025-04-03,9
Cliente 85,4899000084,cliente85@email.com,2025-04-02,10
Cliente 86,4899000085,cliente86@email.com,2025-04-01,11
Cliente 87,4899000086,cliente87@email.com,2025-03-31,12
Cliente 88,4899000087,cliente88@email.com,2025-03-30,13
Cliente 89,4899000088,cliente89@email.com,2025-03-29,14
Cliente 90,4899000089,cliente90@email.com,2025-03-28,15
Cliente 91,4899000090,cliente91@email.com,2025-03-27,1
Cliente 92,4899000091,cliente92@email.com,2025-03-26,2
Cliente 93,4899000092,cliente93@email.com,2025-03-25,3
Cliente 94,4899000093,cliente94@email.com,2025-03-24,4
Cliente 95,4899000094,cliente95@email.com,2025-03-23,5
Cliente 96,4899000095,cliente96@email.com,2025-03-22,6
Cliente 97,4899000096,cliente97@email.com,2025-03-21,7
Cliente 98,4899000097,cliente98@email.com,2025-03-20,8
Cliente 99,4899000098,cliente99@email.com,2025-03-19,9
Cliente 100,4899000099,cliente100@email.com,2025-03-18,10
Cliente 101,4899000100,cliente101@email.com,2025-03-17,11
Cliente 102,4899000101,cliente102@email.com,2025-03-16,12
Cliente 103,4899000102,cliente103@email.com,2025-03-15,13
Cliente 104,4899000103,cliente104@email.com,2025-03-14,14
Cliente 105,4899000104,cliente105@email.com,2025-03-13,15
Cliente 106,4899000105,cliente106@email.com,2025-03-12,1
Cliente 107,4899000106,cliente107@email.com,2025-03-11,2
Cliente 108,4899000107,cliente108@email.com,2025-03-10,3
Cliente 109,4899000108,cliente109@email.com,2025-03-09,4
Cliente 110,4899000109,cliente110@email.com,2025-03-08,5
Cliente 111,4899000110,cliente111@email.com,2025-03-07,6
Cliente 112,4899000111,cliente112@email.com,2025-03-06,7
Cliente 113,4899000112,cliente113@email.com,2025-03-05,8
Cliente 114,4899000113,cliente114@email.com,2025-03-04,9
Cliente 115,4899000114,cliente115@email.com,2025-03-03,10
Cliente 116,4899000115,cliente116@email.com,2025-03-02,11
Cliente 117,4899000116,cliente117@email.com,2025-03-01,12
Cliente 118,4899000117,cliente118@email.com,2025-02-28,13
Cliente 119,4899000118,cliente119@email.com,2025-02-27,14
Cliente 120,4899000119,cliente120@email.com,2025-02-26,15
Cliente 121,4899000120,cliente121@email.com,2025-02-25,1
Cliente 122,4899000121,cliente122@email.com,2025-02-24,2
Cliente 123,4899000122,cliente123@email.com,2025-04-25,3
Cliente 124,4899000123,cliente124@email.com,2025-04-24,4
Cliente 125,4899000124,cliente125@email.com,2025-04-23,5
Cliente 126,4899000125,cliente126@email.com,2025-04-22,6
Cliente 127,4899000126,cliente127@email.com,2025-04-21,7
Cliente 128,4899000127,cliente128@email.com,2025-04-20,8
Cliente 129,4899000128,cliente129@email.com,2025-04-19,9
Cliente 130,4899000129,cliente130@email.com,2025-04-18,10
Cliente 131,4899000130,cliente131@email.com,2025-04-17,11
Cliente 132,4899000131,cliente132@email.com,2025-04-16,12
Cliente 133,4899000132,cliente133@email.com,2025-04-15,13
Cliente 134,4899000133,cliente134@email.com,2025-04-14,14
Cliente 135,4899000134,cliente135@email.com,2025-04-13,15
Cliente 136,4899000135,cliente136@email.com,2025-04-12,1
Cliente 137,4899000136,cliente137@email.com,2025-04-11,2
Cliente 138,4899000137,cliente138@email.com,2025-04-10,3
Cliente 139,4899000138,cliente139@email.com,2025-04-09,4
Cliente 140,4899000139,cliente140@email.com,2025-04-08,5
Cliente 141,4899000140,cliente141@email.com,2025-04-07,6
Cliente 142,4899000141,cliente142@email.com,2025-04-06,7
Cliente 143,4899000142,cliente143@email.com,2025-04-05,8
Cliente 144,4899000143,cliente144@email.com,2025-04-04,9
Cliente 145,4899000144,cliente145@email.com,2025-04-03,10
Cliente 146,4899000145,cliente146@email.com,2025-04-02,11
Cliente 147,4899000146,cliente147@email.com,2025-04-01,12
Cliente 148,4899000147,cliente148@email.com,2025-03-31,13
Cliente 149,4899000148,cliente149@email.com,2025-03-30,14
Cliente 150,4899000149,cliente150@email.com,2025-03-29,15
Cliente 151,4899000150,cliente151@email.com,2025-03-28,1
Cliente 152,4899000151,cliente152@email.com,2025-03-27,2
Cliente 153,4899000152,cliente153@email.com,2025-03-26,3
Cliente 154,4899000153,cliente154@email.com,2025-03-25,4
Cliente 155,4899000154,cliente155@email.com,2025-03-24,5
Cliente 156,4899000155,cliente156@email.com,2025-03-23,6
Cliente 157,4899000156,cliente157@email.com,2025-03-22,7
Cliente 158,4899000157,cliente158@email.com,2025-03-21,8
Cliente 159,4899000158,cliente159@email.com,2025-03-20,9
Cliente 160,4899000159,cliente160@email.com,2025-03-19,10
Cliente 161,4899000160,cliente161@email.com,2025-03-18,11
Cliente 162,4899000161,cliente162@email.com,2025-03-17,12
Cliente 163,4899000162,cliente163@email.com,2025-03-16,13
Cliente 164,4899000163,cliente164@email.com,2025-03-15,14
Cliente 165,4899000164,cliente165@email.com,2025-03-14,15
Cliente 166,4899000165,cliente166@email.com,2025-03-13,1
Cliente 167,4899000166,cliente167@email.com,2025-03-12,2
Cliente 168,4899000167,cliente168@email.com,2025-03-11,3
Cliente 169,4899000168,cliente169@email.com,2025-03-10,4
Cliente 170,4899000169,cliente170@email.com,2025-03-09,5
Cliente 171,4899000170,cliente171@email.com,2025-03-08,6
Cliente 172,4899000171,cliente172@email.com,2025-03-07,7
Cliente 173,4899000172,cliente173@email.com,2025-03-06,8
Cliente 174,4899000173,cliente174@email.com,2025-03-05,9
Cliente 175,4899000174,cliente175@email.com,2025-03-04,10
Cliente 176,4899000175,cliente176@email.com,2025-03-03,11
Cliente 177,4899000176,cliente177@email.com,2025-03-02,12
Cliente 178,4899000177,cliente178@email.com,2025-03-01,13
Cliente 179,4899000178,cliente179@email.com,2025-02-28,14
Cliente 180,4899000179,cliente180@email.com,2025-02-27,15
Cliente 181,4899000180,cliente181@email.com,2025-02-26,1
Cliente 182,4899000181,cliente182@email.com,2025-02-25,2
Cliente 183,4899000182,cliente183@email.com,2025-02-24,3
Cliente 184,4899000183,cliente184@email.com,2025-04-25,4
Cliente 185,4899000184,cliente185@email.com,2025-04-24,5
Cliente 186,4899000185,cliente186@email.com,2025-04-23,6
Cliente 187,4899000186,cliente187@email.com,2025-04-22,7
Cliente 188,4899000187,cliente188@email.com,2025-04-21,8
Cliente 189,4899000188,cliente189@email.com,2025-04-20,9
Cliente 190,4899000189,cliente190@email.com,2025-04-19,10
Cliente 191,4899000190,cliente191@email.com,2025-04-18,11
Cliente 192,4899000191,cliente192@email.com,2025-04-17,12
Cliente 193,4899000192,cliente193@email.com,2025-04-16,13
Cliente 194,4899000193,cliente194@email.com,2025-04-15,14
Cliente 195,4899000194,cliente195@email.com,2025-04-14,15
Cliente 196,4899000195,cliente196@email.com,2025-04-13,1
Cliente 197,4899000196,cliente197@email.com,2025-04-12,2
Cliente 198,4899000197,cliente198@email.com,2025-04-11,3
Cliente 199,4899000198,cliente199@email.com,2025-04-10,4
Cliente 200,4899000199,cliente200@email.com,2025-04-09,5
