nome,telefone,email,ultimo_pedido,qtd_pedidos
Cliente 69,4899591968,cliente69@email.com,2025-04-16,3
Cliente 70,4899801717,cliente70@email.com,2025-03-25,5
Cliente 71,4899650443,cliente71@email.com,2025-03-13,1
Cliente 72,4899595526,cliente72@email.com,2025-04-21,11
Cliente 73,4899560817,cliente73@email.com,2025-02-25,2
Cliente 74,4899149429,cliente74@email.com,2025-03-23,11
Cliente 75,4899634327,cliente75@email.com,2025-03-21,6
Cliente 76,4899137690,cliente76@email.com,2025-02-27,4
Cliente 77,4899728017,cliente77@email.com,2025-02-24,6
Cliente 78,4899128133,cliente78@email.com,2025-03-19,12
Cliente 79,4899563982,cliente79@email.com,2025-04-07,10
Cliente 80,4899690461,cliente80@email.com,2025-04-09,1
Cliente 81,4899197381,cliente81@email.com,2025-03-06,14
Cliente 82,4899487409,cliente82@email.com,2025-02-24,7
Cliente 83,4899202908,cliente83@email.com,2025-04-06,8
Cliente 84,4899531922,cliente84@email.com,2025-04-11,6
Cliente 85,4899902775,cliente85@email.com,2025-03-23,2
Cliente 86,4899197071,cliente86@email.com,2025-03-28,12
Cliente 87,4899590148,cliente87@email.com,2025-03-01,14
Cliente 88,4899972704,cliente88@email.com,2025-04-12,10
Cliente 89,4899223865,cliente89@email.com,2025-04-22,15
Cliente 90,4899811535,cliente90@email.com,2025-03-30,11
Cliente 91,4899964550,cliente91@email.com,2025-03-21,1
Cliente 92,4899683164,cliente92@email.com,2025-03-29,7
Cliente 93,4899725173,cliente93@email.com,2025-04-11,1
Cliente 94,4899663537,cliente94@email.com,2025-04-14,8
Cliente 95,4899696954,cliente95@email.com,2025-04-10,1
Cliente 96,4899247231,cliente96@email.com,2025-04-16,6
Cliente 97,4899720255,cliente97@email.com,2025-04-20,9
Cliente 98,4899563265,cliente98@email.com,2025-04-14,3
Cliente 99,4899353145,cliente99@email.com,2025-03-25,10
Cliente 100,4899558667,cliente100@email.com,2025-04-13,11
Cliente 101,4899653390,cliente101@email.com,2025-04-05,1
Cliente 102,4899401755,cliente102@email.com,2025-03-02,11
Cliente 103,4899523007,cliente103@email.com,2025-04-09,10
Cliente 104,4899549413,cliente104@email.com,2025-03-04,2
Cliente 105,4899252310,cliente105@email.com,2025-03-05,10
Cliente 106,4899358874,cliente106@email.com,2025-03-05,3
Cliente 107,4899844734,cliente107@email.com,2025-03-13,2
Cliente 108,4899901081,cliente108@email.com,2025-02-27,11
Cliente 109,4899851071,cliente109@email.com,2025-04-20,14
Cliente 110,4899604649,cliente110@email.com,2025-04-02,10
Cliente 111,4899846361,cliente111@email.com,2025-02-26,13
Cliente 112,4899828221,cliente112@email.com,2025-03-12,11
Cliente 113,4899441292,cliente113@email.com,2025-02-28,1
Cliente 114,4899146724,cliente114@email.com,2025-03-15,5
Cliente 115,4899189063,cliente115@email.com,2025-03-17,10
Cliente 116,4899755203,cliente116@email.com,2025-03-18,9
Cliente 117,4899241927,cliente117@email.com,2025-04-14,5
Cliente 118,4899831601,cliente118@email.com,2025-04-20,15
Cliente 119,4899860467,cliente119@email.com,2025-02-28,2
Cliente 120,4899440180,cliente120@email.com,2025-03-24,9
Cliente 121,4899755348,cliente121@email.com,2025-03-14,1
Cliente 122,4899821467,cliente122@email.com,2025-04-09,4
Cliente 123,4899251475,cliente123@email.com,2025-03-27,3
Cliente 124,4899123688,cliente124@email.com,2025-03-29,11
Cliente 125,4899324576,cliente125@email.com,2025-03-26,3
Cliente 126,4899450290,cliente126@email.com,2025-03-10,2
Cliente 127,4899593333,cliente127@email.com,2025-04-16,5
Cliente 128,4899759543,cliente128@email.com,2025-04-14,2
Cliente 129,4899893020,cliente129@email.com,2025-03-31,4
Cliente 130,4899304537,cliente130@email.com,2025-03-02,12
Cliente 131,4899200110,cliente131@email.com,2025-03-27,12
Cliente 132,4899504852,cliente132@email.com,2025-03-25,2
Cliente 133,4899875028,cliente133@email.com,2025-03-23,10
Cliente 134,4899145645,cliente134@email.com,2025-04-12,14
Cliente 135,4899455356,cliente135@email.com,2025-03-29,11
Cliente 136,4899857128,cliente136@email.com,2025-02-26,10
Cliente 137,4899831324,cliente137@email.com,2025-03-09,15
Cliente 138,4899591873,cliente138@email.com,2025-04-09,3
Cliente 139,4899976650,cliente139@email.com,2025-03-22,3
Cliente 140,4899855438,cliente140@email.com,2025-03-18,12
Cliente 141,4899715580,cliente141@email.com,2025-02-28,2
Cliente 142,4899735791,cliente142@email.com,2025-04-15,5
Cliente 143,4899446047,cliente143@email.com,2025-03-18,8
Cliente 144,4899536833,cliente144@email.com,2025-04-22,15
Cliente 145,4899633188,cliente145@email.com,2025-03-10,15
Cliente 146,4899360816,cliente146@email.com,2025-03-19,14
Cliente 147,4899670850,cliente147@email.com,2025-04-06,9
Cliente 148,4899189290,cliente148@email.com,2025-03-16,15
Cliente 149,4899843339,cliente149@email.com,2025-03-10,1
Cliente 150,4899572911,cliente150@email.com,2025-04-05,10
Cliente 151,4899361741,cliente151@email.com,2025-03-29,13
Cliente 152,4899659167,cliente152@email.com,2025-04-09,9
Cliente 153,4899685163,cliente153@email.com,2025-04-21,10
Cliente 154,4899643282,cliente154@email.com,2025-03-20,13
Cliente 155,4899655692,cliente155@email.com,2025-03-22,11
Cliente 156,4899239358,cliente156@email.com,2025-04-05,5
Cliente 157,4899558381,cliente157@email.com,2025-03-30,14
Cliente 158,4899317504,cliente158@email.com,2025-04-16,8
Cliente 159,4899209220,cliente159@email.com,2025-03-30,7
Cliente 160,4899324653,cliente160@email.com,2025-04-03,6
Cliente 161,4899327636,cliente161@email.com,2025-02-25,4
Cliente 162,4899903572,cliente162@email.com,2025-04-22,9
Cliente 163,4899774534,cliente163@email.com,2025-03-10,4
Cliente 164,4899811559,cliente164@email.com,2025-04-09,13
Cliente 165,4899783746,cliente165@email.com,2025-04-05,12
Cliente 166,4899972708,cliente166@email.com,2025-04-08,1
Cliente 167,4899247705,cliente167@email.com,2025-04-16,5
Cliente 168,4899435917,cliente168@email.com,2025-03-25,15
Cliente 169,4899591995,cliente169@email.com,2025-04-03,7
Cliente 170,4899609479,cliente170@email.com,2025-03-20,3
Cliente 171,4899830779,cliente171@email.com,2025-02-26,13
Cliente 172,4899488600,cliente172@email.com,2025-03-06,15
Cliente 173,4899949724,cliente173@email.com,2025-04-14,11
Cliente 174,4899219475,cliente174@email.com,2025-04-20,12
Cliente 175,4899574956,cliente175@email.com,2025-03-19,2
Cliente 176,4899319892,cliente176@email.com,2025-03-18,13
Cliente 177,4899120917,cliente177@email.com,2025-04-21,6
Cliente 178,4899690936,cliente178@email.com,2025-04-04,3
Cliente 179,4899845170,cliente179@email.com,2025-02-28,2
Cliente 180,4899506368,cliente180@email.com,2025-04-08,12
Cliente 181,4899383293,cliente181@email.com,2025-03-22,7
Cliente 182,4899130246,cliente182@email.com,2025-03-31,6
Cliente 183,4899371111,cliente183@email.com,2025-03-10,9
Cliente 184,4899970453,cliente184@email.com,2025-04-14,1
Cliente 185,4899297442,cliente185@email.com,2025-03-16,15
Cliente 186,4899866695,cliente186@email.com,2025-03-13,9
Cliente 187,4899215820,cliente187@email.com,2025-02-28,15
Cliente 188,4899661248,cliente188@email.com,2025-03-01,12
Cliente 189,4899615146,cliente189@email.com,2025-03-04,14
Cliente 190,4899216412,cliente190@email.com,2025-04-19,8
Cliente 191,4899963248,cliente191@email.com,2025-04-08,2
Cliente 192,4899642613,cliente192@email.com,2025-02-26,3
Cliente 193,4899716811,cliente193@email.com,2025-04-20,11
Cliente 194,4899363911,cliente194@email.com,2025-04-04,9
Cliente 195,4899607882,cliente195@email.com,2025-03-15,7
Cliente 196,4899816316,cliente196@email.com,2025-04-20,8
Cliente 197,4899800612,cliente197@email.com,2025-03-20,9
Cliente 198,4899458818,cliente198@email.com,2025-03-28,1
Cliente 199,4899288371,cliente199@email.com,2025-04-24,10
Cliente 200,4899715791,cliente200@email.com,2025-04-11,2
