nome,telefone,ultimo_pedido,email
João Pedro Azevedo,61 8084-9051,2025-04-05,barbosaenrico@alves.br
Davi Viana,+55 81 9952-9470,2025-03-27,nribeiro@hotmail.com
Eloah Costa,21 8855-5262,2025-04-24,aragaonicolas@uol.com.br
Beatriz das Neves,+55 (021) 2386-7972,2025-03-08,jesusnatalia@da.org
Sophia Rezende,+55 (081) 4317 9648,2025-02-24,andrenovaes@yahoo.com.br
Dra. Eduarda da Cunha,61 1448-2814,2025-02-11,das-nevesjuan@gmail.com
Stephany Farias,+55 (081) 7257 3813,2025-03-02,pietra00@cardoso.com
Calebe Barros,+55 41 2226 6264,2025-03-24,carvalhodavi-lucas@vieira.org
Felipe Dias,+55 (061) 1624-8539,2025-02-01,fariascaio@pinto.com
Mariane Peixoto,+55 (071) 4991 7777,2025-04-24,alicia32@ig.com.br
Pedro Miguel Gomes,+55 (061) 4405-9438,2025-02-23,valentinamoreira@da.br
Melissa Farias,41 0075-1622,2025-01-27,castropedro-lucas@ig.com.br
Levi Silva,+55 21 2700 9800,2025-04-15,marcos-viniciusmoraes@hotmail.com
Carlos Eduardo Gonçalves,(011) 0131 9140,2025-03-04,maria-clara58@ig.com.br
Nicole Rezende,11 2722-6645,2025-02-14,carvalhorodrigo@yahoo.com.br
Alana Viana,+55 (061) 3335-3745,2025-02-28,dcavalcanti@nunes.com
Sophia Caldeira,0500 408 1306,2025-02-10,isabellyviana@yahoo.com.br
Joana Duarte,(011) 6567 8127,2025-03-26,lorenzo25@gmail.com
Sabrina Caldeira,84 2549-6714,2025-04-02,joaomoreira@gmail.com
Sra. Emilly Souza,(084) 1313 1967,2025-03-09,heloisacastro@ribeiro.com
Evelyn da Luz,+55 (061) 6165-8401,2025-02-25,da-costavalentina@aragao.com
Gabriela Gomes,(051) 1639-4278,2025-04-25,andrebarros@azevedo.com
Paulo Moraes,(071) 2106 2219,2025-04-09,paulopires@dias.br
Sr. Leandro Alves,(021) 1408 6116,2025-03-11,pcavalcanti@bol.com.br
Luiz Felipe Silva,31 4947-1753,2025-04-15,araujoagatha@castro.br
Marcela da Mata,+55 (051) 3507 8455,2025-01-29,miguel05@rocha.br
Gabrielly Mendes,+55 (051) 8209-1710,2025-03-14,daniela59@uol.com.br
Isis Cardoso,+55 (041) 2611-8989,2025-04-23,fmelo@nascimento.org
Ana Luiza Melo,71 0534 5608,2025-02-04,danieladias@pinto.org
Cauê Fernandes,81 2541 3016,2025-02-02,isis45@uol.com.br
Bruno Nascimento,41 5218-1348,2025-03-01,ana-julia68@silveira.com
João Guilherme Ferreira,0500-541-5042,2025-03-07,enzo70@ribeiro.br
Emanuel da Luz,+55 (041) 1091 9086,2025-03-06,mouraluiz-otavio@bol.com.br
Bryan da Conceição,+55 61 1713-2309,2025-03-26,caldeiraemanuelly@farias.br
Otávio Araújo,0300 530 7451,2025-02-25,ada-rocha@pereira.br
Sophie da Cruz,+55 (051) 3616-4519,2025-02-04,da-rochaotavio@carvalho.org
Alícia da Paz,(031) 8554-6115,2025-04-22,limajulia@bol.com.br
Isabel da Costa,0500-085-7061,2025-04-16,usales@ferreira.net
Arthur Farias,+55 11 2272-5898,2025-03-13,moliveira@da.com
Luiz Fernando Rocha,+55 (061) 8342 4962,2025-01-25,rafael22@da.br
Diogo Carvalho,+55 84 6058-7758,2025-03-06,stephanyda-rosa@ig.com.br
